StudentKey,StudentID,StudentName,ProgramMajor,StartYear,StudentType,ResidencyStatus,ScholarshipPercent,State,Status
1,S00001,Ava Smith,Healthcare Administration,2024,Undergraduate,Out-of-State,30,AL,Active
2,S00002,Michael Rodriguez,Pre-Med,2026,Undergraduate,Out-of-State,15,AL,Active
3,S00003,Zoey Nelson,Biomedical Sciences,2026,Undergraduate,In-State,15,SC,Active
4,S00004,Abigail Adams,Nursing,2025,Undergraduate,In-State,50,AL,Active
5,S00005,Wyatt Moore,Nursing,2023,Undergraduate,In-State,50,GA,Active
6,S00006,Michael Davis,Radiologic Sciences,2024,Certificate,International,0,GA,Active
7,S00007,Abigail Hill,Radiologic Sciences,2025,Undergraduate,In-State,20,SC,Active
8,S00008,Michael Miller,Biomedical Sciences,2025,Graduate,In-State,0,FL,Active
9,S00009,Avery Hill,Nursing,2023,Graduate,In-State,40,TX,Active
10,S00010,Jack Johnson,Pre-Med,2025,Undergraduate,In-State,30,TX,Leave of Absence
11,S00011,Wyatt Carter,Biomedical Sciences,2025,Undergraduate,In-State,15,GA,Active
12,S00012,Lillian Wilson,Public Health,2025,Certificate,In-State,20,SC,Active
13,S00013,Mateo Scott,Public Health,2023,Undergraduate,Out-of-State,15,FL,Active
14,S00014,Henry Miller,Biomedical Sciences,2025,Undergraduate,Out-of-State,40,TN,Active
15,S00015,Ava Davis,Nursing,2024,Graduate,In-State,20,NC,Active
16,S00016,Isabella Patel,Public Health,2025,Undergraduate,In-State,10,SC,Active
17,S00017,Jack Nelson,Healthcare Administration,2026,Certificate,In-State,10,NC,Active
18,S00018,Chloe Nguyen,Pre-Med,2025,Undergraduate,In-State,15,NC,Active
19,S00019,Daniel Patel,Healthcare Administration,2026,Undergraduate,In-State,30,VA,Active
20,S00020,Mason Jackson,Nursing,2024,Undergraduate,In-State,15,GA,Active
21,S00021,Jack Green,Health Informatics,2025,Undergraduate,In-State,15,NC,Leave of Absence
22,S00022,Harper Patel,Nursing,2026,Undergraduate,In-State,25,GA,Active
23,S00023,Penelope Anderson,Public Health,2023,Undergraduate,In-State,40,SC,Active
24,S00024,Zoey Johnson,Biomedical Sciences,2025,Certificate,In-State,0,TX,Active
25,S00025,Scarlett Hall,Public Health,2026,Undergraduate,Out-of-State,0,SC,Active
26,S00026,Daniel Taylor,Radiologic Sciences,2025,Undergraduate,Out-of-State,0,TX,Active
27,S00027,Lucas Allen,Healthcare Administration,2025,Graduate,Out-of-State,30,SC,Active
28,S00028,Leo Moore,Biomedical Sciences,2023,Undergraduate,Out-of-State,50,VA,Active
29,S00029,Evelyn Garcia,Pre-Med,2024,Undergraduate,In-State,0,SC,Active
30,S00030,Avery Johnson,Health Informatics,2026,Certificate,In-State,25,AL,Active
31,S00031,Evelyn Wilson,Biomedical Sciences,2023,Undergraduate,Out-of-State,10,NC,Active
32,S00032,Layla Rodriguez,Radiologic Sciences,2024,Undergraduate,Out-of-State,0,AL,Active
33,S00033,Lillian Mitchell,Public Health,2026,Certificate,Out-of-State,25,AL,Active
34,S00034,Leo Young,Public Health,2024,Undergraduate,Out-of-State,30,SC,Active
35,S00035,Nora Johnson,Biomedical Sciences,2025,Undergraduate,In-State,20,VA,Active
36,S00036,Sophia Miller,Pre-Med,2024,Undergraduate,In-State,10,GA,Active
37,S00037,Chloe Robinson,Radiologic Sciences,2026,Undergraduate,In-State,10,TN,Active
38,S00038,Abigail Nguyen,Healthcare Administration,2026,Graduate,In-State,20,TX,Active
39,S00039,Chloe Adams,Biomedical Sciences,2024,Graduate,In-State,15,TN,Active
40,S00040,Liam Lee,Public Health,2026,Undergraduate,Out-of-State,0,FL,Active
41,S00041,Abigail Hill,Biomedical Sciences,2023,Undergraduate,Out-of-State,0,AL,Active
42,S00042,Emma Harris,Health Informatics,2025,Undergraduate,Out-of-State,20,VA,Active
43,S00043,Ella Hall,Public Health,2023,Graduate,In-State,40,FL,Active
44,S00044,Mason Johnson,Healthcare Administration,2023,Undergraduate,In-State,10,FL,Leave of Absence
45,S00045,Charlotte White,Pre-Med,2026,Undergraduate,International,10,AL,Active
46,S00046,Levi Moore,Radiologic Sciences,2023,Undergraduate,In-State,0,FL,Active
47,S00047,Penelope Lee,Health Informatics,2024,Undergraduate,International,10,GA,Active
48,S00048,Sebastian Davis,Healthcare Administration,2023,Undergraduate,Out-of-State,25,VA,Active
49,S00049,Mateo Robinson,Nursing,2026,Graduate,In-State,25,VA,Active
50,S00050,Charlotte Allen,Pre-Med,2025,Certificate,Out-of-State,30,AL,Active
51,S00051,Abigail Martin,Public Health,2024,Undergraduate,In-State,30,SC,Active
52,S00052,Penelope Roberts,Biomedical Sciences,2026,Undergraduate,In-State,30,VA,Active
53,S00053,Julian Thomas,Public Health,2025,Undergraduate,In-State,50,TX,Active
54,S00054,Ava Baker,Pre-Med,2023,Undergraduate,Out-of-State,30,SC,Active
55,S00055,Julian Young,Healthcare Administration,2023,Undergraduate,In-State,10,TN,Active
56,S00056,Scarlett Campbell,Public Health,2026,Graduate,Out-of-State,20,TN,Active
57,S00057,Henry Clark,Biomedical Sciences,2026,Undergraduate,In-State,15,SC,Active
58,S00058,Elijah Martinez,Nursing,2024,Undergraduate,In-State,30,TX,Leave of Absence
59,S00059,Wyatt Mitchell,Public Health,2023,Undergraduate,In-State,10,VA,Active
60,S00060,Scarlett Carter,Biomedical Sciences,2024,Undergraduate,In-State,0,TX,Active
61,S00061,Julian Brown,Healthcare Administration,2023,Certificate,In-State,30,AL,Active
62,S00062,Henry Taylor,Nursing,2025,Graduate,In-State,0,TN,Active
63,S00063,Olivia Hill,Biomedical Sciences,2023,Undergraduate,In-State,50,TX,Active
64,S00064,Evelyn Davis,Radiologic Sciences,2026,Certificate,International,50,SC,Active
65,S00065,Daniel Young,Health Informatics,2025,Certificate,Out-of-State,15,FL,Leave of Absence
66,S00066,Mia Thomas,Biomedical Sciences,2024,Undergraduate,In-State,0,SC,Active
67,S00067,Lillian Johnson,Pre-Med,2023,Undergraduate,Out-of-State,50,AL,Active
68,S00068,Noah Jackson,Public Health,2025,Graduate,In-State,10,TX,Leave of Absence
69,S00069,Elijah Allen,Nursing,2024,Undergraduate,In-State,0,GA,Active
